,bigram,score
354,total_compensation,221.2439024390244
355,long_term,221.0365510777882
356,th_district,220.06568047337277
357,earned_bachelor,217.80080035571365
358,pro_choice,215.97619047619045
359,packet_design,210.95348837209303
360,fellow_royal,210.08492022645393
361,success_academy,209.73410404624275
362,low_cost,209.59948652118098
363,human_resource,208.5820132856413
364,deseret_book,207.65734011627907
365,owned_operated,206.15909090909093
366,detroit_michigan,204.41690140845068
367,press_isbn,203.47979348406622
368,sam_club,202.8298136645963
369,united_kingdom,201.35179372197308
370,south_carolina,201.050330921964
371,developed_id,199.11951219512196
372,prentice_hall,198.63503649635038
373,privately_held,196.72048192771086
374,newly_created,195.30861244019138
375,johnson_johnson,194.34001190240033
376,administrator_small,194.2244250594766
377,tokyo_japan,192.69630212431156
378,early_childhood,192.09176470588233
379,early_stage,192.09176470588233
380,currently_serf,190.7453271028037
381,associated_press,188.18056089127927
382,senior_advisor,186.6034285714286
383,hunger_project,186.10714285714286
384,allegory_law,185.85998861696075
385,chief_operating,185.55276615527663
386,ended_divorce,185.5431818181818
387,natural_resource,184.14812030075188
388,district_includes,182.68867132867132
389,polytechnic_institute,180.0860294117647
390,john_mccain,177.99200581395348
391,miss_friend,177.47608695652175
392,doctorate_humane,176.51675675675676
393,lieutenant_governor,174.07036247334756
394,billion_dollar,174.07036247334756
395,affordable_care,172.53751320887636
396,master_degree,172.29832402234638
397,west_virginia,171.00754084625052
398,among_others,170.37704347826084
399,democratic_primary,170.08125
400,nonprofit_organization,168.5450322580645
401,united_state,168.1671285982931
402,human_right,167.45316559551486
403,daily_news,166.68579854809437
404,presidential_campaign,166.45412464870228
405,classical_music,166.44036697247708
406,assistant_secretary,164.21637931034482
407,law_enforcement,162.62749003984064
408,played_key,162.5465405674465
409,meritorious_service,162.41180371352786
410,youngest_person,161.98214285714286
411,tibet_house,161.26222222222222
412,francisco_bay,161.1296052631579
413,earned_phd,160.20211930926214
414,dot_com,160.07647058823528
415,really_want,159.60703812316714
416,medium_outlet,158.35150862068966
417,court_appeal,157.75652173913042
418,david_dornsife,156.99807692307692
419,private_sector,156.17216642754664
420,foreign_affair,155.50285714285715
421,film_festival,155.05982905982907
422,marcia_mcnutt,153.45676691729324
423,mechanical_engineering,152.88202247191012
424,stock_option,152.66760168302946
425,lisa_frank,151.886511627907
426,influential_people,151.5704865556978
427,girl_club,150.85467391304348
428,ex_husband,150.71815384615385
429,even_though,150.48663594470045
430,house_representative,149.11232876712327
431,ft_press,148.97627737226276
432,washington_post,148.9476666026503
433,mobile_app,147.89673913043478
434,general_mill,146.07085346215783
435,general_manager,144.9968030690537
436,emerging_market,144.92130177514792
437,internet_safety,144.57910271546635
438,economic_development,143.3161128526646
439,happy_family,140.75689655172414
440,cambridge_massachusetts,139.55384615384617
441,television_series,137.84102863822326
442,asia_society,134.87083118224058
443,chemical_engineering,134.23787338996985
444,atlantic_council,133.96619625861504
445,six_month,133.6153846153846
446,face_face,133.28816326530614
447,co_authored,132.95421233949264
448,honorary_doctor,131.96847848050112
449,match_group,131.54320241691843
450,new_york,131.14150177787073
451,commencement_speaker,130.83173076923077
452,official_website,129.7000882612533
453,cannabis_industry,129.5857142857143
454,spelman_college,129.44873150105707
455,corporate_governance,129.0395152792413
456,brac_usa,128.06117647058824
457,parent_divorced,127.18336189437606
458,emmy_nomination,126.08339768339768
459,million_dollar,124.9735935706085
460,creative_people,124.56654929577465
461,junior_achievement,124.35491241431836
462,big_thing,124.26027397260273
463,since_inception,124.2130087485736
464,radio_station,122.58108108108108
465,bender_consulting,122.48912228057014
466,republican_party,122.47763713080168
467,human_factor,121.94025392083645
468,boston_globe,121.03632320237212
469,wikimedia_foundation,119.90306590783918
470,york_city,118.79217504473728
471,around_world,118.71246230073244
472,new_jersey,117.4743133863715
473,senior_vice,117.19055900621117
474,presidential_election,117.01720019111323
475,korean_traditional,116.83577817531305
476,queen_elizabeth,116.62714285714286
477,assistant_professor,116.2948717948718
478,began_career,115.69929461783748
479,music_orchestra,115.22794636556105
480,advisory_council,114.70402966143038
481,first_lady,114.32847510373445
482,congressional_district,114.18041958041958
483,modern_healthcare,113.74294670846396
484,high_profile,113.3875
485,computer_science,113.31405570463589
486,open_source,113.15176715176715
487,department_defense,112.7499260136135
488,younger_brother,112.41170395869192
489,frequent_speaker,112.14148351648352
490,american_businesswoman,111.73730553401158
491,alumnus_achievement,111.49061113007853
492,ranked_th,111.23857302118172
493,natural_gas,111.0734693877551
494,across_country,111.00874125874125
495,th_century,110.17408906882591
496,african_american,109.46117523609652
497,multi_platform,109.14304812834224
498,sporting_good,108.85199999999999
499,awarded_honorary,108.81054836252855
500,avon_product,108.74325674325674
501,chicago_tribune,107.13779527559055
502,major_league,106.76416739319966
503,presidential_candidate,106.18227424749163
504,managing_partner,105.67015424441807
505,year_old,105.65761801533633
506,girl_generation,105.5676724137931
507,mary_crowley,105.34064516129033
508,general_hospital,104.70565602154676
509,people_disability,103.19122426868906
510,health_care,103.03762498422358
511,charter_school,102.23130590339893
512,audit_committee,101.92134831460675
513,united_nation,101.69282511210763
514,press_release,101.43065693430657
515,emmy_award,101.41490683229814
516,decision_making,101.03836633663366
517,fortune_magazine,100.54064039408867
518,co_founder,100.22702160977137
519,pacific_region,100.04779411764706
520,anglo_american,99.94281217208814
521,undergraduate_research,99.89137380191693
522,fine_art,99.55975609756098
523,contemporary_asian,99.13661202185793
524,social_medium,98.68912037037036
525,wellesley_college,98.62760495318635
526,council_foreign,98.2418772563177
527,elected_vote,97.93252361673413
528,vice_president,97.93068107960181
529,economic_growth,97.33412816691505
530,co_founded,97.26443852564654
531,make_wish,97.18928571428572
532,executive_officer,95.74920390309097
533,austin_texas,95.19472947761193
534,chief_executive,94.8361532090652
535,new_hampshire,94.08576230492197
536,outstanding_contribution,93.91889559965487
537,clean_power,93.51546391752578
538,profit_organization,92.17306451612905
539,arizona_republic,91.47226890756302
540,first_avenue,91.2022023619534
541,jean_case,90.98801894678184
542,memorial_museum,90.93734335839598
543,board_overseer,90.88311068702289
544,high_school,90.76451322115385
545,powerful_woman,90.45472898568457
546,denver_colorado,90.40863787375415
547,developing_country,90.14243651085756
548,worth_u,89.88251022334067
549,obama_administration,89.49380217556286
550,mental_health,88.24247883264276
551,wealth_management,87.83109198493813
552,helped_launch,87.76027949475946
553,philadelphia_museum,87.68958109559613
554,associate_professor,87.22115384615385
555,wharton_school,87.22115384615385
556,paul_getty,87.22115384615385
557,general_election,86.67940754897276
558,mobile_game,86.57370095440086
559,forbes_list,86.49792703150912
560,bachelor_art,86.32348794586211
561,direct_marketing,86.10573500329598
562,mba_harvard,84.52833207831326
563,best_selling,84.21818181818182
564,life_insurance,84.06858202038924
565,creative_writing,83.73230769230769
566,social_justice,82.51721897335933
567,achievement_award,81.26999031424882
568,met_husband,80.63111111111111
569,received_honorary,80.28330688599334
570,earned_master,79.74505494505495
571,great_great,79.7255859375
572,advisory_committee,79.33337382326147
573,received_bachelor,78.8278291731364
574,chief_staff,78.82748632121017
575,north_america,78.7261330761813
576,managing_director,77.84981019970292
577,fast_company,77.68943700007716
578,undergraduate_degree,77.63128491620111
579,took_place,77.45635673624288
580,heart_attack,77.45635673624288
581,september_attack,77.45635673624288
582,crain_new,77.16683136412459
583,asset_management,77.14893214893215
584,abc_news,76.72838345864662
585,radcliffe_college,76.71035940803382
586,elementary_school,76.25620879120879
587,began_working,76.19576503529137
588,hollywood_reporter,75.59166666666667
589,liberal_art,74.66981707317073
590,carnegie_hall,74.48813868613138
591,care_act,74.06913445835602
592,u_billion,73.98492338111714
593,ad_age,73.88144796380091
594,sits_board,73.7998192044998
595,futuro_medium,72.89196428571428
596,denver_health,72.8350618936099
597,reality_television,72.82694023193578
598,best_known,72.40709534368071
599,mozilla_foundation,72.16388225934766
600,palm_inc,71.84950495049505
601,financial_crisis,71.56607495069034
602,crown_book,71.19680232558139
603,board_trustee,70.94446905670665
604,editor_chief,70.67291877074015
605,public_diplomacy,70.51522349384582
606,president_barack,69.8175007696781
607,traditional_music,69.67271175592063
608,response_covid,69.59846547314578
609,issue_date,69.5095785440613
610,drexel_university,68.9560180995475
611,published_hb,68.71969696969697
612,bachelor_science,68.35959699638053
613,became_interested,68.34003013561025
614,medium_coverage,68.0325
615,list_powerful,67.69402985074628
616,seattle_washington,67.66597596353087
617,health_wellness,67.47954263672682
618,organization_dedicated,67.23870967741935
619,data_analysis,67.13733552631578
620,started_career,66.95520787332029
621,security_exchange,66.93092846894855
622,feature_film,66.45421245421245
623,princeton_university,66.09609108159393
624,open_letter,65.86446147640177
625,entrepreneur_residence,65.73188405797102
626,department_store,65.70014485755674
627,john_kerry,65.4683239775461
628,asian_art,65.28508596561376
629,degree_english,65.15482841181165
630,world_war,64.48578199052133
631,upon_graduation,64.33333333333334
632,medal_honor,64.08084772370486
633,rutgers_university,64.03058823529412
634,order_british,63.88028169014085
635,business_insider,63.78296027188562
636,honorary_degree,63.219536478787546
637,human_service,63.07254513146713
638,speaker_bureau,62.79923076923077
639,visual_art,62.22484756097561
640,boston_massachusetts,61.914734561213436
641,distinguished_service,61.871163319439184
642,service_medal,61.871163319439184
643,announced_would,61.721681677733216
644,columbia_university,61.71622962437987
645,consecutive_year,61.413490471414235
646,donated_million,61.26754221388368
647,social_responsibility,61.08417508417508
648,foreign_policy,61.01569506726457
649,list_influential,60.92462686567164
650,massachusetts_general,60.67558528428094
651,advisory_board,60.635527130183625
652,hold_position,60.52264808362369
653,th_powerful,59.90947940947941
654,george_washington,59.79783922358542
655,new_zealand,59.23918367346939
656,new_yorker,59.23918367346939
657,first_female,58.783268245057364
658,political_science,58.690869877785765
659,world_economic,58.62343817320121
660,national_geographic,58.617124394184174
661,documentary_film,58.56981436642454
662,penn_state,58.52258064516129
663,radio_show,57.76071883401727
