Svetlana Goryacheva,RU
Yelena Greshnyakova,RU
Lilia Gumerova,RU
Elena Hrenova,RU
Irina Ivenskikh,RU
Raisa Karmazina,RU
Olga Kazakova,RU
Irina Khakamada,RU
Yekaterina Kharchenko,RU
Svetlana Khodchenkova,RU
Galina Khovanskaya,RU
Alfiya Kogogina,RU
Natalya Komarova,RU
Olga Korobova,RU
Natalya Kostenko,RU
Natalia Kosikhina,RU
Lyudmila Kotesova,RU
Marina Kovtun,RU
Irina Kozhanova,RU
Mariya Kozhevnikova,RU
Vasilina Kuliyeva,RU
Tatiana Kusayko,RU
Anna Kuznetsova,RU
Ekaterina Lakhova,RU
Yana Lantratova,RU
Tatiana Larionova,RU
Yulia Lazutkina,RU
Olga Li,RU
Marina Litvinovich,RU
Tatiana Lobach,RU
Maria Lvova-Belova,RU
Olga Lyubimova,RU
Valentina Matviyenko,RU
Yevgeniya Mikhaylova,RU
Ekaterina Mizulina,RU
Yelena Mizulina,RU
Tatyana Moskalkova,RU
Marina Mukabenova,RU
Elvira Nabiullina,RU
Natalya Narochnitskaya,RU
Lyudmila Narusova,RU
Natalia Nazarova (politician),RU
Victoria Nikolaeva,RU
Tatyana Nikolayeva (politician),RU
Valeriya Novodvorskaya,RU
Yulia Ogloblina,RU
Larisa Opanasyuk,RU
Marina Orgeyeva,RU
Natalya Orlova,RU
Svetlana Orlova (politician),RU
Nina Ostanina,RU
Anna Otke,RU
Ella Pamfilova,RU
Irina Panchenko,RU
Irina Pankina,RU
Valentina Parshina,RU
Natalia Pelevine,RU
Valentina Petrenko,RU
Olga Pilipenko,RU
Elena Pisareva,RU
Valentina Pivnenko,RU
Tamara Pletnyova,RU
Natalia Poklonskaya,RU
Natalia Poluyanova,RU
Alla Polyakova,RU
Larisa Ponomaryova,RU
Kristina Potupchik,RU
Maria Prusakova (politician),RU
Oksana Pushkina,RU
Zugura Rakhmatullina,RU
Svetlana Razvorotneva,RU
Viktoria Rodina,RU
Irina Rodnina,RU
Valentina Rudchenko,RU
Irina Rukavishnikova,RU
Zhanna Ryabtseva,RU
Tatiana Sakharova,RU
Yulia Saranova,RU
Olga Savastianova,RU
Svetlana Savchenko,RU
Svetlana Savitskaya,RU
Maria Sergeyeva,RU
Larisa Sergukhina,RU
Yelena Serova,RU
Vera Shcherbina,RU
Galina Shirshina,RU
Larisa Shoigu,RU
Elena Shumilova,RU
Lyudmila Shvetsova,RU
Anna Skroznikova,RU
Yelena Skrynnik,RU
Veronika Skvortsova,RU
Emilia Slabunova,RU
Lyubov Sliska,RU
Ksenia Sobchak,RU
Lyubov Sobol,RU
Tatyana Solomatina,RU
Elizaveta Solonchenko,RU
Yekaterina Stenyakina,RU
Svetlana Svetlichnaya,RU
Valentina Tereshkova,RU
Olga Timofeeva,RU
Elena Tsunaeva,RU
Larisa Tutova,RU
Anastasia Udaltsova,RU
Sazhi Umalatova,RU
Rimma Utyasheva,RU
Yevgenia Uvarkina,RU
Olga Vasilieva (politician),RU
Maria Vasilkova,RU
Veronika Vlasova,RU
Galina Volchek,RU
Elena Vtorygina,RU
Yelena Yampolskaya,RU
Irina Yarovaya,RU
Olga Yepifanova,RU
Yelena Yevtyukhova,RU
Tatyana Zakharenkova,RU
Natalia Zhdanova,RU
Anastasia Zhukova,RU
Svetlana Zhurova,RU
Olha Aivazovska,Ukraine
Iryna Akimova,Ukraine
Alla Aleksandrovska,Ukraine
Aliona Babak,Ukraine
Tatyana Bakhteeva,Ukraine
Tetyana Baranova,Ukraine
Irina Belousova,Ukraine
Irina Berezhna,Ukraine
Maryana Bezuhla,Ukraine
Olga Bielkova,Ukraine
Olena Bilosiuk,Ukraine
Larysa Bilozir,Ukraine
Oksana Bilozir,Ukraine
Solomiia Bobrovska,Ukraine
Olha Bodnar,Ukraine
Raisa Bohatyriova,Ukraine
Olha Bohomolets,Ukraine
Inna Bohoslovska,Ukraine
Olena Bondarenko (Party of Regions politician),Ukraine
Olena Bondarenko (Yulia Tymoshenko Bloc politician),Ukraine
Iryna Borzova,Ukraine
Liudmyla Buimister,Ukraine
Olha Buslavets,Ukraine
Olha Chervakova,Ukraine
Tetiana Chornovol,Ukraine
Galina Danilchenko,Ukraine
Khatia Dekanoidze,Ukraine
Lyudmyla Denisova,Ukraine
Yuliya Didenko,Ukraine
Natalia Donets,Ukraine
Tetiana Donets,Ukraine
Emine Dzhaparova,Ukraine
Iryna Farion,Ukraine
Svitlana Fomenko,Ukraine
Iryna Friz,Ukraine
Maria Gaidar,Ukraine
Kateryna Handziuk,Ukraine
Iryna Herashchenko (politician),Ukraine
Olha Herasymyuk,Ukraine
Halyna Hereha,Ukraine
Hanna Herman,Ukraine
Hanna Hopko,Ukraine
Viktoriya Hryb,Ukraine
Liliya Hrynevych,Ukraine
Tetiana Hryshchenko,Ukraine
Anna Hutsol,Ukraine
Mariya Ionova,Ukraine
Oksana Kalietnik,Ukraine
Nina Karpachova,Ukraine
Nataliya Katser-Buchkovska,Ukraine
Viktoriya Kinzburska,Ukraine
Ivanna Klympush-Tsintsadze,Ukraine
Oksana Koliada,Ukraine
Olena Kondratiuk,Ukraine
Iryna Konstankevych,Ukraine
Olena Kopanchuk,Ukraine
Valentyna Korolenko,Ukraine
Natalia Korolevska,Ukraine
Paraska Korolyuk,Ukraine
Anna Kovalenko,Ukraine
Yevheniya Kravchuk,Ukraine
Iryna Kupreychyk,Ukraine
Oleksandra Kuzhel,Ukraine
Yulia Laputina,Ukraine
Maryna Lazebna,Ukraine
