Ana Revenco
Veronica Roșca
Svetlana Rusu
Maia Sandu
Nina Shtanski
Veronica Sirețeanu
Natalia Șoșeva
Arina Spătaru
Olesea Stamate
Valeria Șterbeț
Inna Șupac
Tatiana Turanskaya
Ilona Tyuryaeva
Irina Vlah
Larisa Voloh
Alina Zotea
Anna Maria Anders
Urszula Augustyn
Barbara Bartuś
Małgorzata Bartyzel
Halina Bieda
Magdalena Biejat
Elżbieta Bieńkowska
Barbara Blida
Anita Błochowiak
Krystyna Bochenek
Joanna Borowiak
Anna Borucka-Cieślewicz
Barbara Borys-Damięcka
Bożena Borys-Szopa
Beata Bublewicz
Barbara Bubula
Agnieszka Buczyńska
Margareta Budner
Bożenna Bukiewicz
Teresa Ceglecka-Zielonka
Małgorzata Chmiel
Dominika Chorosińska
Daniela Chrapkiewicz
Alicja Chybicka
Zofia Czernow
Teresa Czerwińska
Dorota Czudowska
Lena Dąbkowska-Cichocka
Anna Dąbrowska-Banaszek
Danuta Dmowska
Barbara Dolniak
Aleksandra Dulkiewicz
Agnieszka Dziemianowicz-Bąk
Maria Dziuba
Barbara Dziuk
Jadwiga Emilewicz
Joanna Fabisiak
Monika Falej
Jolanta Fedak
Janina Fetlińska
Magdalena Filiks
Barbara Frączek
Karolina Gajewska
Kinga Gajewska
Kamila Gasiuk-Pihowicz
Ewa Gawęda
Grażyna Gęsicka
Zyta Gilowska
Teresa Glenc
Marta Golbik
Małgorzata Golińska
Agnieszka Gorgoń-Komor
Agnieszka Górska
Małgorzata Gosiewska
Janina Goss
Krystyna Gozdawa-Nocoń
Zofia Grabczan
Manuela Gretkowska
Anna Grodzka
Hanna Gronkiewicz-Waltz
Małgorzata Gryniewicz
Hanna Gucwińska
Alina Gut
Teresa Hałas
Katarzyna Hall
Iwona Hartwich
Paulina Hennig-Kloska
Jolanta Hibner
Danuta Hojarska
Klaudia Jachira
Elżbieta Jakubiak
Ewa Janik
Bogna Janke
Elżbieta Jankowska
Małgorzata Janowska
Izabela Jaruga-Nowacka
Joanna Jaśkowiak
Ewa Junczyk-Ziomecka
Teresa Kalina
Beata Kempa
Małgorzata Kidawa-Błońska
Ewa Kierzkowska
Izabela Kloc
Joanna Kluzik-Rostkowska
Magdalena Kochan
Beata Kocik
Agnieszka Kołacz-Leszczyńska
Ewa Kołodziej
Domicela Kopaczewska
Małgorzata Kopiczko
Katarzyna Kotula
Bronisława Kowalska
Ewa Kozanecka
Katarzyna Kretkowska
Elżbieta Kruk
Anna Krupka
Marta Kubiak
Maria Kurowska
Anna Kwiecień
Marta Lempart
Gabriela Lenartowicz
Ewa Leniart
Izabela Leszczyna
Sandra Lewandowska
Dorota Łoboda
Magdalena Łośko
Katarzyna Lubnauer
Anna Łukaszewska-Trzeciakowska
Krystyna Łukaszuk
Wanda Łyżwińska
Marzena Machałek
Beata Maciejewska
Marlena Maląg
Beata Małecka-Libera
Ewa Malik
Jagna Marczułajtis
Barbara Marianowska
Gabriela Masłowska
Mirosława Masłowska
Ewa Matecka
Paulina Matysiak
Iwona Michałek
Joanna Mihułka
Anna Milczanowska
Aldona Młyńczak
Halina Molka
Gabriela Morawska-Stanecka
Anna Moskwa
Izabela Mrzygłocka
Joanna Mucha
Halina Murias
Aleksandra Natalli-Świat
Barbara Nowacka
Maria Nowak (politician)
Danuta Nowicka
Wanda Nowicka
Stanisława Anna Okularczyk
Alicja Olechowska
Małgorzata Olejnik
Halina Olendzka
Daria Gosek-Popiołek
Dorota Olko
Violeta Alexandru
Roberta Anastase
Ecaterina Andronescu
Luminița Anghel
Monica Anisie
Mitzura Arghezi
Clotilde Armand
Sulfina Barbu
Elena Băsescu
Ana Birchall
Anca Boagiu
Silvia Ciornei
Gabriela Crețu
Anca Dragu
Liana Dumitrescu
Marilena Dumitrescu
Gabriela Firea
Astrid Fodor
Alina Gorghiu
Maria Grapini
Csilla Hegedüs
Monica Iacob Ridzi
Diana Iovanovici Șoșoacă
Leonida Lari
Ligia Deca
Victoria Longher
Luminița Odobescu
Simona-Alice Man
Ramona Mănescu
Mioara Mantale
Viorica Moisuc
Mona Muscă
Norica Nicolai
Oana Niculescu-Mizil
Maria Petre
Anca Petrescu
Sorina-Luminița Plăcintă
Rovana Plumb
Mihaela Popa
Hildegard Puwak
Adriana Săftoiu
Lavinia Șandru
Daciana Sârbu
Sevil Shhaideh
Alexandra Sidorovici
Rodica Stănoiu
Corina Șuteu
Christine Thellmann
Silvia Adriana Țicău
Ana-Maria Trăsnea
Raluca Turcan
Elena Udrea
Lia Olguța Vasilescu
Renate Weber
Tatyana Bakalchuk
Yelena Baturina
Veronika Belotserkovskaya
Elena Bunina
Maria Butina
Olga Dergunova
Natalya Kaspersky
Dolores Kondrashova
Inna Latiševa
Julia Lemigova
Oreoluwa Lesi
Anna Loginova
Anya Verkhovskaya
Viktoria Abramchenko
Yelena Afanasyeva (politician)
Elvira Aitkulova
Lyudmila Alexeyeva
Olga Amelchenkova
Nina Andreyeva
Alevtina Aparina
Maria Arbatova
Alyona Arshinova
Valentina Artamonova
Tatyana Astrakhankina
Sardana Avksentyeva
Nadezhda Babkina
Olga Batalina
Marina Bartsyts
Irina Belykh
Darya Besedina
Yelena Bondarenko (Russian politician)
Tatiana Butskaya
Roza Chemeris
Olga Dergunova
Oksana Dmitriyeva
Yelena Drapeko
Maria Drobot
Yekaterina Duntsova
Tatyana Dyakonova
Oksana Fadina
Irina Filatova
Tamara Frolova
Maria Gaidar
Alla Gerber
Olga Germanova
Tatyana Gigel
Olga Glatskikh
Anzhelika Glazkova
Elmira Glubokovskaya
Tatyana Golikova
Olga Golodets
Ksenia Goryacheva
Svetlana Goryacheva
Yelena Greshnyakova
Lilia Gumerova
Elena Hrenova
Irina Ivenskikh
Raisa Karmazina
Olga Kazakova
Irina Khakamada
Yekaterina Kharchenko
Svetlana Khodchenkova
Galina Khovanskaya
Alfiya Kogogina
Natalya Komarova
Olga Korobova
Natalya Kostenko
Natalia Kosikhina
Lyudmila Kotesova
Marina Kovtun
Irina Kozhanova
Mariya Kozhevnikova
Vasilina Kuliyeva
Tatiana Kusayko
Anna Kuznetsova
Ekaterina Lakhova
Yana Lantratova
Tatiana Larionova
Yulia Lazutkina
Olga Li
Marina Litvinovich
Tatiana Lobach
Maria Lvova-Belova
Olga Lyubimova
Valentina Matviyenko
Yevgeniya Mikhaylova
Ekaterina Mizulina
Yelena Mizulina
Tatyana Moskalkova
Marina Mukabenova
Elvira Nabiullina
Natalya Narochnitskaya
Lyudmila Narusova
Natalia Nazarova (politician)
Victoria Nikolaeva
Tatyana Nikolayeva (politician)
Valeriya Novodvorskaya
Yulia Ogloblina
Larisa Opanasyuk
Marina Orgeyeva
Natalya Orlova
Svetlana Orlova (politician)
Nina Ostanina
Anna Otke
Ella Pamfilova
Irina Panchenko
Irina Pankina
Valentina Parshina
Natalia Pelevine
Valentina Petrenko
Olga Pilipenko
Elena Pisareva
Valentina Pivnenko
Tamara Pletnyova
Natalia Poklonskaya
Natalia Poluyanova
Alla Polyakova
Larisa Ponomaryova
Kristina Potupchik
Maria Prusakova (politician)
Oksana Pushkina
Zugura Rakhmatullina
Svetlana Razvorotneva
Viktoria Rodina
Irina Rodnina
Valentina Rudchenko
Irina Rukavishnikova
Zhanna Ryabtseva
Tatiana Sakharova
Yulia Saranova
Olga Savastianova
Svetlana Savchenko
Svetlana Savitskaya
Maria Sergeyeva
Larisa Sergukhina
Yelena Serova
Vera Shcherbina
Galina Shirshina
Larisa Shoigu
Elena Shumilova
Lyudmila Shvetsova
Anna Skroznikova
Yelena Skrynnik
Veronika Skvortsova
Emilia Slabunova
Lyubov Sliska
Ksenia Sobchak
Lyubov Sobol
Tatyana Solomatina
Elizaveta Solonchenko
Yekaterina Stenyakina
Svetlana Svetlichnaya
Valentina Tereshkova
Olga Timofeeva
Elena Tsunaeva
Larisa Tutova
Anastasia Udaltsova
Sazhi Umalatova
Rimma Utyasheva
Yevgenia Uvarkina
Olga Vasilieva (politician)
Maria Vasilkova
Veronika Vlasova
Galina Volchek
Elena Vtorygina
Yelena Yampolskaya
Irina Yarovaya
Olga Yepifanova
Yelena Yevtyukhova
Tatyana Zakharenkova
Natalia Zhdanova
Anastasia Zhukova
Svetlana Zhurova
Olha Aivazovska
Iryna Akimova
Alla Aleksandrovska
Aliona Babak
Tatyana Bakhteeva
Tetyana Baranova
Irina Belousova
Irina Berezhna
Maryana Bezuhla
Olga Bielkova
Olena Bilosiuk
Larysa Bilozir
Oksana Bilozir
Solomiia Bobrovska
Olha Bodnar
Raisa Bohatyriova
Olha Bohomolets
Inna Bohoslovska
Olena Bondarenko (Party of Regions politician)
Olena Bondarenko (Yulia Tymoshenko Bloc politician)
Iryna Borzova
Liudmyla Buimister
Olha Buslavets
Olha Chervakova
Tetiana Chornovol
Galina Danilchenko
Khatia Dekanoidze
Lyudmyla Denisova
Yuliya Didenko
Natalia Donets
Tetiana Donets
Emine Dzhaparova
