name,country
Marie-Françoise Bechtel,France
,France
Aurélia Beigneux,France
,France
Béatrice Bellamy,France
,France
Huguette Bello,France
,France
Nicole Belloubet,France
,France
Lisa Belluco,France
,France
Esther Benbassa,France
,France
Justine Benin,France
,France
Fanta Berete,France
,France
Aurore Bergé,France
,France
Karine Berger,France
,France
Chantal Berthelot,France
,France
Martine Berthet,France
,France
Véronique Besse,France
,France
Barbara Bessot Ballot,France
,France
Annie Beustes,France
,France
Gisèle Biémouret,France
,France
Martine Billard,France
,France
Anne Blanc,France
,France
Sophie Blanc,France
,France
Marie-Christine Blandin,France
,France
Florence Blatrix-Contat,France
,France
Anne-Laure Blin,France
,France
Maryvonne Blondin,France
,France
Émilie Bonnivard,France
,France
Aude Bono-Vandorme,France
,France
Alexandra Borchio-Fontimp,France
,France
Josette Borel-Lincertin,France
,France
Élisabeth Borne,France
,France
Nicole Borvo,France
,France
Natacha Bouchart,France
,France
Sylvie Bouchet Bellecourt,France
,France
Claire Bouchet,France
,France
Jeannette Bougrab,France
,France
Marie-Odile Bouillé,France
,France
Monique Boulestin,France
,France
Brigitte Bourguignon,France
,France
Soumya Bourouaha,France
,France
Chantal Bourragué,France
,France
Danielle Bousquet,France
,France
Brigitte Bout,France
,France
Christine Boutin,France
,France
Kheira Bouziane-Laroussi,France
,France
Marie Bové,France
,France
Pascale Boyer,France
,France
Valérie Boyer,France
,France
Françoise Branget,France
,France
Yaël Braun-Pivet,France
,France
Maud Bregeon,France
,France
Marine Brenier,France
,France
Françoise Briand,France
,France
Maryvonne Briot,France
,France
Paulette Brisepierre,France
,France
Blandine Brocard,France
,France
Anne Brugnera,France
,France
Marie-Thérèse Bruguière,France
,France
Danielle Brulebois,France
,France
Charlotte Brun,France
,France
Chantal Brunel,France
,France
Anne-France Brunet,France
,France
Françoise Buffet,France
,France
Marie-George Buffet,France
,France
Carole Bureau-Bonnard,France
,France
Agnès Buzyn,France
,France
Céline Calvez,France
,France
Colette Capdevielle,France
,France
Émilie Cariou,France
,France
Éléonore Caroit,France
,France
Martine Carrillon-Couvreur,France
,France
Anne-Laure Cattelot,France
,France
Charlotte Caubel,France
,France
Caroline Cayeux,France
,France
Danièle Cazarian,France
,France
Samantha Cazebonne,France
,France
Émilie Chalas,France
,France
Jessica Chamba,France
,France
Isabelle Champmoreau,France
,France
Emilie Chandler,France
,France
Marie-Anne Chapdelaine,France
,France
Annie Chapelier,France
,France
Marine Charrette-Labadie,France
,France
Sylvie Charrière,France
,France
Fannette Charvier,France
,France
Sophia Chikirou,France
,France
Mireille Clapot,France
,France
Marie-Françoise Clergeau,France
,France
Christine Cloarec,France
,France
Sophie Cluzel,France
,France
Fabienne Colboc,France
,France
Caroline Colombier,France
,France
Catherine Colonna,France
,France
Geneviève Colot,France
,France
Anne-Marie Comparini,France
,France
Catherine Conconne,France
,France
Josiane Corneloup,France
,France
Emmanuelle Cosse,France
,France
Yolaine de Courson,France
,France
Annick Cousin,France
,France
Catherine Coutelle,France
,France
Roselle Cros,France
,France
Valentina Cross,France
,France
Michèle Crouzet,France
,France
Pascale Crozon,France
,France
Cécile Cukierman,France
,France
Christelle d'Intorni,France
,France
Nathalie Da Conceicao Carvalho,France
,France
Seybah Dagoma,France
Valérie Létard,France
Ingrid Levavasseur,France
Geneviève Levy,France
Cynthia Ligeard,France
Martine Lignières-Cassou,France
Monique Limon,France
Audrey Linkenheld,France
Hélène Lipietz,France
Brigitte Liso,France
Christine Loir,France
Nathalie Loiseau,France
Christiane Longère,France
Isabelle Lonvis-Rome,France
Marie-France Lorho,France
Gabrielle Louis-Carabin,France
Alexandra Louis,France
Véronique Louwagie,France
Monique Lubin,France
Priscillia Ludosky,France
Aude Luquet,France
Marie-Ange Magne,France
Lise Magnier,France
Laurence Maillart-Méhaignerie,France
Hermeline Malherbe-Laurent,France
Lucienne Malovry,France
Josette Manin,France
Manon Meunier,France
Jacqueline Maquet,France
Roxana Maracineanu,France
Marie-Lou Marcel,France
Marion Maréchal,France
Gilberte Marin-Moskovitz,France
Christine Marin,France
Muriel Marland-Militello,France
Élisabeth Marquet,France
Sandra Marsaud,France
Alexandra Martin (born 1968),France
Alexandra Martin (born 1976),France
Pascale Martin,France
Martine Martinel,France
Henriette Martinez,France
Michèle Martinez,France
Lydie Massard,France
Frédérique Massat,France
Hélène Masson-Maret,France
Alexandra Masson,France
Josiane Mathon-Poinat,France
Sereine Mauborgne,France
Marie-Antoinette Maupertuis,France
Marianne Maximi,France
Sandrine Mazetier,France
Nora Mebarek,France
Caroline Mécary,France
Graziella Melchior,France
Joëlle Mélin,France
Colette Mélot,France
Yaël Ménache,France
Emmanuelle Ménard,France
Marina Mesure,France
Sophie Métadier,France
Sophie Mette,France
Frédérique Meunier,France
Michelle Meunier,France
Marjolaine Meynier-Millefert,France
Monica Michel,France
Laure Miller,France
Karine Miot-Richard,France
Patricia Mirallès,France
Hélène Missoffe,France
Antoinette Montaigne,France
Amélie de Montchalin,France
Marie-Anne Montchamp,France
Christelle Morançais,France
Sandrine Mörch,France
Louise Morel,France
Élisabeth Moreno,France
Catherine Morin-Desailly,France
Florence Morlighem,France
Cendra Motin,France
Jacline Mouraud,France
Naïma Moutchou,France
Isabelle Muller-Quoy,France
Cécile Muschotti,France
Sibeth Ndiaye,France
Sylviane Noël,France
Françoise Nyssen,France
Delphine O,France
Danièle Obono,France
Marie-Renée Oget,France
Nelly Olin,France
Françoise Olivier-Coupeau,France
Maud Olivier,France
Claire O'Petit,France
Valérie Oppelt,France
Dominique Orliac,France
Anne d'Ornano,France
Monique Orphé,France
Catherine Osson,France
Safia Otokoré,France
Mireille Oudit,France
Nathalie Oziol,France
Aline Pailler,France
Bernadette Païx,France
Françoise de Panafieu,France
Jacqueline Panis,France
Agnès Pannier-Runacher,France
Sophie Panonacle,France
Mathilde Panot,France
Guylène Pantel,France
Monique Papon,France
Mathilde Paris,France
Zivka Park,France
Florence Parly,France
Caroline Parmentier,France
Isabelle Pasquet,France
Francesca Pasquini,France
Béatrice Pavy-Morançais,France
Anne-Marie Payet,France
Valérie Pécresse,France
Fleur Pellerin,France
Marie-Luce Penchard,France
Muriel Pénicaud,France
Anne-Laurence Petel,France
Bénédicte Pételle,France
Christelle Petex-Levet,France
Maud Petit,France
Valérie Petit,France
Sonia Petro,France
Annick Petrus,France
Annette Peulvast-Bergeal,France
Bénédicte Peyrol,France
Michèle Peyron,France
Sébastien Peytavie,France
Anna Pic,France
Hajasoa Vololona Picard,France
Sylvia Pinel,France
Martine Pinville,France
Christine Pirès-Beaune,France
Béatrice Piron,France
Claire Pitollat,France
Élisabeth Pochon,France
Marie Pochon,France
Brune Poirson,France
Bérengère Poletti,France
Lisette Pollet,France
Barbara Pompili,France
Josette Pons,France
Nathalie Porte,France
Josy Poueyto,France
Natalia Pouzyreff,France
Daphna Poznanski-Benhamou,France
Cécile Pozzo di Borgo,France
Sophie Primas,France
Catherine Procaccia,France
Florence Provendier,France
Christine Prunaud,France
Catherine Pujol,France
Audrey Pulvar,France
Catherine Quéré,France
Valérie Rabault,France
Monique Rabin,France
Cathy Racon-Bouzon,France
Isabelle Raimond-Pavero,France
Nadia Ramassamy,France
Angélique Ranc,France
Isabelle Rauch,France
Sandra Regol,France
Mereana Reid Arbelot,France
Muriel Ressiguier,France
Sylvie Retailleau,France
Cécile Rilhac,France
Juliana Rimane,France
Véronique Riotton,France
Stéphanie Rist,France
Michèle Rivasi,France
Marie-Pierre Rixain,France
Laurence Robert-Dehault,France
Mireille Robert,France
Chantal Robin-Rodrigo,France
Sylvie Robineau,France
Marie-Josée Roig,France
Johanna Rolland,France
Barbara Romagnan,France
Muriel Roques-Étienne,France
Laurianne Rossi,France
Laurence Rossignol,France
Claudia Rouaux,France
Yvette Roudy,France
Béatrice Roullaud,France
Sandrine Rousseau,France
Ségolène Royal,France
Janine Rozier,France
Babette de Rozières,France
Sabine Rubin,France
Michèle Rubirola,France
Virginie Ruffenach,France
Anaïs Sabatini,France
Michèle Sabban,France
Maina Sage,France
Laurence Sailliet,France
Laetitia Saint-Paul,France
Françoise de Salvador,France
Michèle San Vicente-Baudrin,France
Nicole Sanquer,France
Isabelle Santiago,France
Nathalie Sarles,France
Marielle de Sarnez,France
Éva Sas,France
Odile Saugues,France
Marlène Schiappa,France
Patricia Schillinger,France
Mireille Schurch,France
Sabrina Sebaihi,France
Nathalie Serre,France
Marie Silin,France
Danielle Simonnet,France
Esther Sittler,France
Valérie Six,France
Ersilia Soudais,France
Violette Spillebout,France
Anne Stambach-Terrenoir,France
Sira Sylla,France
Michèle Tabarot,France
Sophie Taillé-Polian,France
Sarah Taillebois,France
Suzanne Tallard,France
Marie Tamarelle-Verhaeghe,France
Liliane Tanguy,France
Catherine Tasca,France
Christiane Taubira,France
Bénédicte Taurine,France
Jennifer de Temmerman,France
Odette Terrade,France
Lana Tetuanui,France
Eliane Tevahitua,France
Irène Tharin,France
Marie-Noëlle Thémereau,France
Prisca Thevenot,France
Agnès Thill,France
Sabine Thillaye,France
Valérie Thomas,France
Mélanie Thomin,France
Marie-Hélène Thoraval,France
Alice Thourot,France
Huguette Tiegna,France
Sylvie Tolmont,France
Marine Tondelier,France
Marisol Touraine,France
Marie Toussaint,France
Élisabeth Toutut-Picard,France
Laurence Trastour-Isnart,France
Catherine Troendlé,France
Aurélie Trouvé,France
Frédérique Tuffnell,France
Cécile Untermaier,France
Hélène Vainqueur-Christophe,France
Isabelle Valentin,France
Alexandra Valetta-Ardisson,France
Najat Vallaud-Belkacem,France
Laurence Vanceunebrock-Mialon,France
Martine Vassal,France
Isabelle Vasseur,France
Michèle de Vaucouleurs,France
Catherine Vautrin,France
Marie-Christine Verdier-Jouclas,France
Sylvie Vermeillet,France
Béatrice Vernaudon,France
Laurence Vichnievsky,France
Annie Vidal,France
Corinne Vignon,France
Dominique Voynet,France
Emmanuelle Wargon,France
Sylvie Wieviorka,France
Martine Wonner,France
Rama Yade,France
Estelle Youssouffa,France
Hélène Zannier,France
Marie-Jo Zimmermann,France
Souad Zitouni,France
Simone Bagel-Trah,Germany
Ursula Bechtolsheimer-Kipp,Germany
Julia Bösch,Germany
Bianca Claßen,Germany
Antje von Dewitz,Germany
Jeannette zu Fürstenberg,Germany
Milena Glimbovski,Germany
Kerstin Günther,Germany
Susanne Klatten,Germany
Melanie Kreis,Germany
Nicola Leibinger-Kammüller,Germany
Guya Merkle,Germany
Brigitte Mohn,Germany
Aygül Özkan,Germany
Frauke Petry,Germany
