Ann S. Moore
Linda Moore (businesswoman)
Ioanna Morfessis
Jennifer Morgan
Denise Moriguchi
Brit Morin
Denise Morrison
Alina Morse
Molly Morse
Georgette Mosbacher
Eva Moskowitz
Anne M. Mulcahy
Rita Mulcahy
Deanna M. Mulligan
Maureen G. Mulvaney
Karen Murphy (Pennsylvania nurse)
Kathleen Murphy (executive)
Eileen Murray
Yasmine Mustafa
Sue Naegle
Cheryl Najafi
Priya Narasimhan
Erika Ayers Badan
Cathleen H. Nash
Amy Nauiokas
Sandra Navidi
Debra L. Ness
Rebekah Neumann
Janice Nevin
Barbara L. Nichols
Pamela Nicholson
Obioma Nnaemeka
Sahra Noor
Indra Nooyi
Merle Nethercutt Norman
Ann McBride Norton
Phebe Novakovic
Jacqueline Novogratz
Michelle Nunn
Kate O'Brian
Deirdre O'Brien
Darcy Olsen
Terry O'Neill (feminist)
Sally R. Osberg
Regina Ovesey
Laura Owen
Jani Macari Pallis
Ellen Pao
Richelle Parham
Angela Patton
Cristina Patwa
Lisa Paulsen
Karen Peetz
Efrat Peled
Kim Perell
Tiffany Pham
Sandra Pianalto
Julia Pimsleur
Mary Pittman
Kim Polese
Patti Poppe
Dina Powell
Anne Pramaggiore
Kathryn Linda Haycock Proffitt
Alexandra Pruner
Lois Quam
Michele Quirolo
Screamin' Rachael
Rasheeda
Valerie Red-Horse
Debra L. Reed
Carolyn Reidy
Carol E. Reiley
Gregg Renfrew
Barbara Rentler
Rosalind Resnick
Sadiqa Reynolds
Karen Richardson
Ruth Richardson (American politician)
Elizabeth Richter
Rebecca W. Rimel
Janet L. Robinson
Sharon Percy Rockefeller
Jessamyn Rodriguez
Maya Rogers
Alice Rogoff
Jessica Rolph
Ginni Rometty
Cindy Rose
Hilary Rosen
Irene Rosenfeld
Vivian Rosenthal
Angelica Ross
Kristi Ross
Martine Rothblatt
Linda Rottenberg
Helena Rubinstein
Kerry Rupp (businesswoman)
Patricia Russo
Barbara Falkenbach Ryan
Angela Rye
Lynn D. Salvage
Marian Salzman
Mary F. Sammons
Andra Samoa
Martha Samuelson
Leslie Sanchez
Sheryl Sandberg
Marion Sandler
Sonja Santelises
Marcela Sapone
Kris Sarri
Ann Marie Sastry
Meggan Scavio
Mary Schapiro
Hope Skillman Schary
Kim Schatzel
Helen Schelle
Andrea Batista Schlesinger
Marge Schott
Stacy H. Schusterman
Susan Schwab
Nancy Schwartzman
Mona Scott-Young
Kendra Scott
Suzanne Scott
Christina Seelye
Michelle Seitz
Selena
Wendy Selig-Prieb
Lara Setrakian
Salli Setta
Tina Sharkey
Ruth G. Shaw
Elissa Shevinsky
"Joanna Shields, Baroness Shields"
Clara Shih
Lydia Shire
Muriel Siebert
Jane Silber
Andrea Silbert
Amy Rose Silverman
Ellen Siminoff
Nina Simons
Renata Simril
Shivani Siroya
Karen Skelton
Anne-Marie Slaughter
Dannette Smith
Judy Smith
Lara Smith
Megan Smith
Sally J. Smith
Julie Smolyansky
Stacey Snider
Tanya Snyder
Leah Soibel
Susan L. Solomon
Jill Soltau
Jayne Spain
Lynette Spano
Theresa Sparks
Courtenay Sprunger
Patti Stanger
Debbie Sterling
Caryl M. Stern
Anne L. Stevens
Tambra Raye Stevenson
Julia Stewart (businesswoman)
Martha Stewart
Maureen Storey
Susan Story
Stephanie Stuckey
Lisa Su
Anjali Sud
Marylou Sudders
Hillary Super
Anne Sweeney
Sonia Syngal
La June Montgomery Tabron
Patricia Tallman
Chandrika Tandon
Nina Tandon
Andrea L. Taylor
Lorna Taylor
Marcia G. Taylor
Shelli Taylor
Halle Tecco
Dana Telsey
Davia Temin
Cydni Tetro
Pamela Thomas-Graham
Nancy Thornberry
Mary Ann Tighe
Lynn Tilton
Selina Tobaccowala
Carol Tomé
Susie Tompkins Buell
Martha de la Torre
Lila Tretikov
Therese Tucker
Barbara Turf
Sharen Jester Turney
Nancy Twine
Barbara Ulichny
Jayshree Ullal
Elaine Ullian
Mikaila Ulmer
Kathleen Unger
Nina Vaca
Kelli Valade
Christine Valmy
Ingrid Vanderveldt
Deena Varshavskaya
Seema Verma
Carla Vernón
Lillian Vernon (businesswoman)
Jill Vialet
Shazi Visram
Nena von Schlebrügge
Alexa von Tobel
Julie Wainwright
Dana Walden
Joan Wallace-Benjamin
Kathleen E. Walsh
Martha M. Walz
Niniane Wang
Marilyn Ware
Della Warrior
Patricia Wasley
Jessica Weber
Katharine Weymouth
Jill Whalen
Belle Wheelan
Meg Whitman
Michelle Whitten
Maggie Wilderotter
Anne Williams-Isom
Frederica Williams
Geisha Williams
Lauren W. Wilson
Oprah Winfrey
Caroline Winnett
Susan Wojcicki
Whitney Wolfe Herd
Andrea Wong
Cathie Wood
Jessie Woolley-Wilson
Deborah Wright
Wendy Wright
Linda Yaccarino
Bethany Yellowtail
Jean Yokum
Annie Young-Scrivner
Kinney Zalesne
Mary Zappone
Heather Zichal
Randi Zuckerberg
